       loss  accuracy  val_loss  val_accuracy
0  0.622174  0.836527  0.308356        0.9150
1  0.285195  0.918764  0.241842        0.9300
2  0.233333  0.933091  0.204435        0.9418
3  0.199382  0.942873  0.176482        0.9538
4  0.174080  0.949618  0.158717        0.9554
5  0.154357  0.956145  0.145355        0.9590
6  0.137929  0.961091  0.133925        0.9618
7  0.124554  0.964691  0.125576        0.9650
8  0.113459  0.968418  0.116294        0.9678
9  0.103729  0.970727  0.109390        0.9694
